timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
191 73 80 0.2736343634874749 0.12636563651252514
192 16 32 0.3296067852602543 0.07039321473974575
192 56 74 0.39343204811406324 0.006567951885936785
192 82 84 0.3592211108302796 0.040778889169720445
193 15 51 0.37260035686408594 0.027399643135914087
193 16 32 0.320817947149621 0.07918205285037905
193 30 33 0.3113971806082093 0.08860281939179071
194 16 32 0.320817947149621 0.07918205285037905
194 21 24 0.22411629327441404 0.17588370672558598
194 40 46 0.3819649449989052 0.018035055001094813
194 63 74 0.3979507208300611 0.0020492791699389112
195 16 32 0.29997973296335906 0.10002026703664096
195 40 46 0.3819649449989052 0.018035055001094813
195 73 78 0.36117756538985557 0.03882243461014445
196 29 50 0.39641137824542694 0.0035886217545730847
197 5 55 0.25560612825467577 0.14439387174532425
197 15 51 0.22501782677229434 0.17498217322770568
197 35 81 0.37123795447463515 0.028762045525364877
197 48 66 0.3898484028763152 0.010151597123684797
199 15 25 0.2824716789593242 0.11752832104067584
199 44 46 0.27208750627518574 0.12791249372481428
199 48 66 0.3345129407237057 0.06548705927629433
199 61 67 0.32911644981083965 0.07088355018916037
200 15 21 0.35154339122752615 0.048456608772473875
200 48 66 0.27935278890940024 0.12064721109059978
200 50 59 0.33754365180190804 0.06245634819809198
201 10 14 0.27683588607636006 0.12316411392363996
201 40 53 0.30262656389164094 0.09737343610835908
201 48 66 0.27935278890940024 0.12064721109059978
201 50 59 0.31990844434875937 0.08009155565124065
201 58 64 0.3783030640924481 0.021696935907551895
202 30 33 0.3027307956654992 0.09726920433450081
202 61 67 0.3528717987272364 0.047128201272763626
203 30 33 0.3890106844974875 0.010989315502512531
203 50 59 0.3024874507973732 0.09751254920262681
203 58 64 0.34070288229046886 0.059297117709531166
203 61 67 0.3650752682590429 0.034924731740957116
203 76 85 0.31356091701284294 0.08643908298715708
204 42 77 0.3950935366935468 0.004906463306453224
204 50 59 0.3306583663202131 0.06934163367978691
204 58 64 0.3042634324355074 0.09573656756449261
205 21 30 0.280168129948953 0.11983187005104701
